"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US37009","Ashe County, North Carolina","26992","null","*****","*****","25901","null","141","null","1091","null","141","null",
"0500000US37011","Avery County, North Carolina","17633","null","*****","*****","16908","null","94","null","725","null","94","null",
"0500000US37013","Beaufort County, North Carolina","47513","null","*****","*****","45723","null","322","null","1790","null","322","null",
"0500000US37015","Bertie County, North Carolina","20324","null","*****","*****","19992","null","152","null","332","null","152","null",
"0500000US37017","Bladen County, North Carolina","34454","null","*****","*****","32935","null","220","null","1519","null","220","null",
"0500000US37019","Brunswick County, North Carolina","119167","null","*****","*****","114046","null","591","null","5121","null","591","null",
"0500000US37021","Buncombe County, North Carolina","250112","null","*****","*****","236527","null","958","null","13585","null","958","null",
"0500000US37023","Burke County, North Carolina","89082","null","*****","*****","84830","null","360","null","4252","null","360","null",
"0500000US37025","Cabarrus County, North Carolina","192296","null","*****","*****","177438","null","833","null","14858","null","833","null",
"0500000US37027","Caldwell County, North Carolina","81623","null","*****","*****","78820","null","345","null","2803","null","345","null",
"0500000US37029","Camden County, North Carolina","10228","null","*****","*****","9911","null","94","null","317","null","94","null",
"0500000US37031","Carteret County, North Carolina","68537","null","*****","*****","66008","null","246","null","2529","null","246","null",
"0500000US37033","Caswell County, North Carolina","23094","null","*****","*****","22496","null","124","null","598","null","124","null",
"0500000US37035","Catawba County, North Carolina","155461","null","*****","*****","144775","null","699","null","10686","null","699","null",
"0500000US37037","Chatham County, North Carolina","68778","null","*****","*****","62946","null","410","null","5832","null","410","null",
"0500000US37039","Cherokee County, North Carolina","27226","null","*****","*****","26559","null","222","null","667","null","222","null",
"0500000US37041","Chowan County, North Carolina","14556","null","*****","*****","14139","null","130","null","417","null","130","null",
"0500000US37043","Clay County, North Carolina","10730","null","*****","*****","10412","null","118","null","318","null","118","null",
"0500000US37045","Cleveland County, North Carolina","97113","null","*****","*****","94472","null","437","null","2641","null","437","null",
"0500000US37047","Columbus County, North Carolina","57015","null","*****","*****","55454","null","206","null","1561","null","206","null",
