"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0500000US47011","Bradley County, Tennessee","104557","null","*****","*****","98487","740","null","null","6070","740","null","null",
"0500000US47013","Campbell County, Tennessee","39687","null","*****","*****","39401","118","null","null","286","118","null","null",
"0500000US47015","Cannon County, Tennessee","13976","null","*****","*****","13696","106","null","null","280","106","null","null",
"0500000US47017","Carroll County, Tennessee","28018","null","*****","*****","27771","76","null","null","247","76","null","null",
"0500000US47019","Carter County, Tennessee","56391","null","*****","*****","55816","128","null","null","575","128","null","null",
"0500000US47021","Cheatham County, Tennessee","39929","null","*****","*****","38959","280","null","null","970","280","null","null",
"0500000US47023","Chester County, Tennessee","17150","null","*****","*****","16876","148","null","null","274","148","null","null",
"0500000US47025","Claiborne County, Tennessee","31613","null","*****","*****","31213","116","null","null","400","116","null","null",
"0500000US47027","Clay County, Tennessee","7686","null","*****","*****","7651","27","null","null","35","27","null","null",
"0500000US47029","Cocke County, Tennessee","35336","null","*****","*****","35118","119","null","null","218","119","null","null",
"0500000US47031","Coffee County, Tennessee","54531","null","*****","*****","52969","239","null","null","1562","239","null","null",
"0500000US47033","Crockett County, Tennessee","14499","null","*****","*****","13883","93","null","null","616","93","null","null",
"0500000US47035","Cumberland County, Tennessee","58634","null","*****","*****","57355","276","null","null","1279","276","null","null",
"0500000US47037","Davidson County, Tennessee","684017","null","*****","*****","596472","2506","null","null","87545","2506","null","null",
"0500000US47039","Decatur County, Tennessee","11683","null","*****","*****","11611","41","null","null","72","41","null","null",
"0500000US47041","DeKalb County, Tennessee","19601","null","*****","*****","18402","134","null","null","1199","134","null","null",
"0500000US47043","Dickson County, Tennessee","51988","null","*****","*****","50971","148","null","null","1017","148","null","null",
"0500000US47045","Dyer County, Tennessee","37576","null","*****","*****","36854","204","null","null","722","204","null","null",
"0500000US47047","Fayette County, Tennessee","39692","null","*****","*****","39010","191","null","null","682","191","null","null",
"0500000US47049","Fentress County, Tennessee","17994","null","*****","*****","17839","93","null","null","155","93","null","null",
"0500000US47051","Franklin County, Tennessee","41512","null","*****","*****","40406","257","null","null","1106","257","null","null",
"0500000US47053","Gibson County, Tennessee","49175","null","*****","*****","48608","128","null","null","567","128","null","null",
"0500000US47055","Giles County, Tennessee","29167","null","*****","*****","28580","187","null","null","587","187","null","null",
"0500000US47057","Grainger County, Tennessee","23013","null","*****","*****","22487","117","null","null","526","117","null","null",
"0500000US47059","Greene County, Tennessee","68669","null","*****","*****","67868","173","null","null","801","173","null","null",
"0500000US47061","Grundy County, Tennessee","13331","null","*****","*****","13249","56","null","null","82","56","null","null",
"0500000US47063","Hamblen County, Tennessee","63740","null","*****","*****","59909","391","null","null","3831","391","null","null",
"0500000US47065","Hamilton County, Tennessee","357546","null","*****","*****","339706","996","null","null","17840","996","null","null",
"0500000US47067","Hancock County, Tennessee","6585","null","*****","*****","6490","52","null","null","95","52","null","null",
"0500000US47069","Hardeman County, Tennessee","25562","null","*****","*****","25230","115","null","null","332","115","null","null",
"0500000US47071","Hardin County, Tennessee","25771","null","*****","*****","25360","171","null","null","411","171","null","null",
"0500000US47073","Hawkins County, Tennessee","56402","null","*****","*****","55784","131","null","null","618","131","null","null",
"0500000US47075","Haywood County, Tennessee","17779","null","*****","*****","17479","84","null","null","300","84","null","null",
"0500000US47077","Henderson County, Tennessee","27859","null","*****","*****","27513","124","null","null","346","124","null","null",
"0500000US47079","Henry County, Tennessee","32279","null","*****","*****","31858","130","null","null","421","130","null","null",
"0500000US47081","Hickman County, Tennessee","24678","null","*****","*****","24371","136","null","null","307","136","null","null",
"0500000US47083","Houston County, Tennessee","8176","null","*****","*****","8085","52","null","null","91","52","null","null",
"0500000US47085","Humphreys County, Tennessee","18318","null","*****","*****","18034","140","null","null","284","140","null","null",
"0500000US47087","Jackson County, Tennessee","11615","null","*****","*****","11512","58","null","null","103","58","null","null",
"0500000US47089","Jefferson County, Tennessee","53247","null","*****","*****","51920","286","null","null","1327","286","null","null",
"0500000US47091","Johnson County, Tennessee","17789","null","*****","*****","17490","66","null","null","299","66","null","null",
"0500000US47093","Knox County, Tennessee","456185","null","*****","*****","433744","1225","null","null","22441","1225","null","null",
"0500000US47095","Lake County, Tennessee","7526","null","*****","*****","7475","32","null","null","51","32","null","null",
"0500000US47097","Lauderdale County, Tennessee","26297","null","*****","*****","25790","77","null","null","507","77","null","null",
"0500000US47099","Lawrence County, Tennessee","42937","null","*****","*****","42536","127","null","null","401","127","null","null",
"0500000US47101","Lewis County, Tennessee","11956","null","*****","*****","11856","89","null","null","100","89","null","null",
"0500000US47103","Lincoln County, Tennessee","33711","null","*****","*****","33172","118","null","null","539","118","null","null",
"0500000US47105","Loudon County, Tennessee","51610","null","*****","*****","47866","629","null","null","3744","629","null","null",
"0500000US47107","McMinn County, Tennessee","52773","null","*****","*****","51452","231","null","null","1321","231","null","null",
"0500000US47109","McNairy County, Tennessee","25903","null","*****","*****","25693","80","null","null","210","80","null","null",
"0500000US47111","Macon County, Tennessee","23487","null","*****","*****","22795","191","null","null","692","191","null","null",
"0500000US47113","Madison County, Tennessee","97682","null","*****","*****","94759","373","null","null","2923","373","null","null",
"0500000US47115","Marion County, Tennessee","28417","null","*****","*****","28189","98","null","null","228","98","null","null",
"0500000US47117","Marshall County, Tennessee","32269","null","*****","*****","31301","355","null","null","968","355","null","null",
"0500000US47119","Maury County, Tennessee","89776","null","*****","*****","86220","505","null","null","3556","505","null","null",
"0500000US47121","Meigs County, Tennessee","11962","null","*****","*****","11772","93","null","null","190","93","null","null",
"0500000US47123","Monroe County, Tennessee","45876","null","*****","*****","44541","329","null","null","1335","329","null","null",
"0500000US47125","Montgomery County, Tennessee","196387","null","*****","*****","186935","772","null","null","9452","772","null","null",
"0500000US47127","Moore County, Tennessee","6322","null","*****","*****","6228","82","null","null","94","82","null","null",
"0500000US47129","Morgan County, Tennessee","21596","null","*****","*****","21438","47","null","null","158","47","null","null",
"0500000US47131","Obion County, Tennessee","30520","null","*****","*****","29974","140","null","null","546","140","null","null",
"0500000US47133","Overton County, Tennessee","22004","null","*****","*****","21679","146","null","null","325","146","null","null",
"0500000US47135","Perry County, Tennessee","7912","null","*****","*****","7814","75","null","null","98","75","null","null",
"0500000US47137","Pickett County, Tennessee","5088","null","*****","*****","5070","21","null","null","18","21","null","null",
"0500000US47139","Polk County, Tennessee","16782","null","*****","*****","16599","75","null","null","183","75","null","null",
"0500000US47141","Putnam County, Tennessee","76440","null","*****","*****","72506","479","null","null","3934","479","null","null",
