"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Native","Annotation of Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Annotation of Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-Born","Margin of Error!!Total:!!Foreign-Born","Annotation of Margin of Error!!Total:!!Foreign-Born","Annotation of Estimate!!Total:!!Foreign-Born",
"0500000US30047","Lake County, Montana","31030","*****","*****","null","30277","null","189","null","753","189","null","null",
"0500000US30049","Lewis and Clark County, Montana","70340","*****","*****","null","69306","null","248","null","1034","248","null","null",
"0500000US30051","Liberty County, Montana","2026","*****","*****","null","2017","null","9","null","9","9","null","null",
"0500000US30053","Lincoln County, Montana","19674","*****","*****","null","18993","null","246","null","681","246","null","null",
"0500000US30055","McCone County, Montana","1805","164","null","null","1766","null","165","null","39","21","null","null",
"0500000US30057","Madison County, Montana","8499","*****","*****","null","8311","null","100","null","188","100","null","null",
"0500000US30059","Meagher County, Montana","1932","*****","*****","null","1867","null","65","null","65","65","null","null",
"0500000US30061","Mineral County, Montana","4490","*****","*****","null","4423","null","26","null","67","26","null","null",
"0500000US30063","Missoula County, Montana","117379","*****","*****","null","113842","null","505","null","3537","505","null","null",
"0500000US30065","Musselshell County, Montana","4813","171","null","null","4735","null","173","null","78","53","null","null",
"0500000US30067","Park County, Montana","17072","*****","*****","null","16620","null","115","null","452","115","null","null",
"0500000US30069","Petroleum County, Montana","434","91","null","null","422","null","84","null","12","18","null","null",
"0500000US30071","Phillips County, Montana","4233","*****","*****","null","4118","null","62","null","115","62","null","null",
"0500000US30073","Pondera County, Montana","5974","*****","*****","null","5822","null","70","null","152","70","null","null",
"0500000US30075","Powder River County, Montana","1759","119","null","null","1737","null","121","null","22","19","null","null",
"0500000US30077","Powell County, Montana","6955","*****","*****","null","6841","null","72","null","114","72","null","null",
"0500000US30079","Prairie County, Montana","1227","150","null","null","1153","null","154","null","74","40","null","null",
"0500000US30081","Ravalli County, Montana","43790","*****","*****","null","42949","null","274","null","841","274","null","null",
"0500000US30083","Richland County, Montana","11375","*****","*****","null","11007","null","151","null","368","151","null","null",
"0500000US30085","Roosevelt County, Montana","10884","*****","*****","null","10744","null","37","null","140","37","null","null",
"0500000US30087","Rosebud County, Montana","8464","*****","*****","null","8327","null","78","null","137","78","null","null",
"0500000US30089","Sanders County, Montana","12298","*****","*****","null","12117","null","67","null","181","67","null","null",
"0500000US30091","Sheridan County, Montana","3522","192","null","null","3446","null","198","null","76","39","null","null",
"0500000US30093","Silver Bow County, Montana","35017","*****","*****","null","34534","null","235","null","483","235","null","null",
"0500000US30095","Stillwater County, Montana","8916","*****","*****","null","8843","null","33","null","73","33","null","null",
"0500000US30097","Sweet Grass County, Montana","3690","*****","*****","null","3657","null","24","null","33","24","null","null",
"0500000US30099","Teton County, Montana","6173","*****","*****","null","6141","null","22","null","32","22","null","null",
"0500000US30101","Toole County, Montana","5013","*****","*****","null","4897","null","57","null","116","57","null","null",
"0500000US30103","Treasure County, Montana","693","112","null","null","693","null","112","null","0","11","null","null",
"0500000US30105","Valley County, Montana","7553","*****","*****","null","7482","null","56","null","71","56","null","null",
"0500000US30107","Wheatland County, Montana","2082","*****","*****","null","2057","null","29","null","25","29","null","null",
"0500000US30109","Wibaux County, Montana","1018","154","null","null","980","null","159","null","38","35","null","null",
"0500000US30111","Yellowstone County, Montana","163593","*****","*****","null","160472","null","409","null","3121","409","null","null",
"0500000US31001","Adams County, Nebraska","31284","*****","*****","null","29510","null","206","null","1774","206","null","null",
"0500000US31003","Antelope County, Nebraska","6310","*****","*****","null","6209","null","28","null","101","28","null","null",
"0500000US31005","Arthur County, Nebraska","472","77","null","null","466","null","78","null","6","5","null","null",
"0500000US31007","Banner County, Nebraska","605","102","null","null","566","null","98","null","39","19","null","null",
"0500000US31009","Blaine County, Nebraska","346","49","null","null","346","null","49","null","0","10","null","null",
"0500000US31011","Boone County, Nebraska","5413","*****","*****","null","5354","null","26","null","59","26","null","null",
"0500000US31013","Box Butte County, Nebraska","10821","*****","*****","null","10083","null","305","null","738","305","null","null",
"0500000US31015","Boyd County, Nebraska","1812","106","null","null","1752","null","104","null","60","25","null","null",
"0500000US31017","Brown County, Nebraska","2752","130","null","null","2622","null","146","null","130","74","null","null",
"0500000US31019","Buffalo County, Nebraska","49840","*****","*****","null","47612","null","231","null","2228","231","null","null",
"0500000US31021","Burt County, Nebraska","6705","*****","*****","null","6626","null","52","null","79","52","null","null",
"0500000US31023","Butler County, Nebraska","8354","*****","*****","null","8165","null","39","null","189","39","null","null",
"0500000US31025","Cass County, Nebraska","26546","*****","*****","null","26201","null","83","null","345","83","null","null",
"0500000US31027","Cedar County, Nebraska","8401","*****","*****","null","8353","null","34","null","48","34","null","null",
"0500000US31029","Chase County, Nebraska","3694","182","null","null","3429","null","207","null","265","111","null","null",
"0500000US31031","Cherry County, Nebraska","5505","*****","*****","null","5373","null","81","null","132","81","null","null",
"0500000US31033","Cheyenne County, Nebraska","9575","*****","*****","null","9431","null","78","null","144","78","null","null",
"0500000US31035","Clay County, Nebraska","6104","*****","*****","null","5904","null","47","null","200","47","null","null",
"0500000US31037","Colfax County, Nebraska","10608","*****","*****","null","6943","null","274","null","3665","274","null","null",
"0500000US31039","Cuming County, Nebraska","9035","*****","*****","null","8440","null","74","null","595","74","null","null",
"0500000US31041","Custer County, Nebraska","10625","*****","*****","null","10472","null","65","null","153","65","null","null",
"0500000US31043","Dakota County, Nebraska","21284","*****","*****","null","16415","null","444","null","4869","444","null","null",
"0500000US31045","Dawes County, Nebraska","8383","*****","*****","null","8337","null","46","null","46","46","null","null",
"0500000US31047","Dawson County, Nebraska","24031","*****","*****","null","18754","null","479","null","5277","479","null","null",
"0500000US31049","Deuel County, Nebraska","1878","122","null","null","1864","null","122","null","14","15","null","null",
"0500000US31051","Dixon County, Nebraska","5632","*****","*****","null","5236","null","58","null","396","58","null","null",
"0500000US31053","Dodge County, Nebraska","37249","*****","*****","null","34935","null","251","null","2314","251","null","null",
"0500000US31055","Douglas County, Nebraska","578771","*****","*****","null","520865","null","1927","null","57906","1927","null","null",
"0500000US31057","Dundy County, Nebraska","1900","182","null","null","1841","null","163","null","59","59","null","null",
"0500000US31059","Fillmore County, Nebraska","5561","*****","*****","null","5502","null","28","null","59","28","null","null",
"0500000US31061","Franklin County, Nebraska","2914","*****","*****","null","2899","null","10","null","15","10","null","null",
"0500000US31063","Frontier County, Nebraska","2512","80","null","null","2499","null","80","null","13","8","null","null",
"0500000US31065","Furnas County, Nebraska","4655","*****","*****","null","4559","null","38","null","96","38","null","null",
"0500000US31067","Gage County, Nebraska","21706","*****","*****","null","21302","null","110","null","404","110","null","null",
"0500000US31069","Garden County, Nebraska","1726","139","null","null","1709","null","138","null","17","17","null","null",
"0500000US31071","Garfield County, Nebraska","1889","99","null","null","1865","null","103","null","24","20","null","null",
"0500000US31073","Gosper County, Nebraska","1811","145","null","null","1769","null","145","null","42","34","null","null",
"0500000US31075","Grant County, Nebraska","718","93","null","null","698","null","87","null","20","22","null","null",
"0500000US31077","Greeley County, Nebraska","2219","*****","*****","null","2204","null","10","null","15","10","null","null",
"0500000US31079","Hall County, Nebraska","62616","*****","*****","null","53608","null","668","null","9008","668","null","null",
"0500000US31081","Hamilton County, Nebraska","9376","*****","*****","null","9280","null","45","null","96","45","null","null",
"0500000US31083","Harlan County, Nebraska","3216","145","null","null","3127","null","142","null","89","33","null","null",
"0500000US31085","Hayes County, Nebraska","891","80","null","null","852","null","80","null","39","21","null","null",
"0500000US31087","Hitchcock County, Nebraska","2630","*****","*****","null","2622","null","7","null","8","7","null","null",
"0500000US31089","Holt County, Nebraska","10175","*****","*****","null","9912","null","85","null","263","85","null","null",
"0500000US31091","Hooker County, Nebraska","714","97","null","null","714","null","97","null","0","10","null","null",
"0500000US31093","Howard County, Nebraska","6461","*****","*****","null","6344","null","32","null","117","32","null","null",
"0500000US31095","Jefferson County, Nebraska","7213","*****","*****","null","7028","null","79","null","185","79","null","null",
"0500000US31097","Johnson County, Nebraska","5298","*****","*****","null","5150","null","43","null","148","43","null","null",
"0500000US31099","Kearney County, Nebraska","6639","*****","*****","null","6341","null","179","null","298","179","null","null",
"0500000US31101","Keith County, Nebraska","8312","*****","*****","null","8044","null","104","null","268","104","null","null",
"0500000US31103","Keya Paha County, Nebraska","946","130","null","null","924","null","132","null","22","22","null","null",
"0500000US31105","Kimball County, Nebraska","3583","179","null","null","3539","null","188","null","44","38","null","null",
"0500000US31107","Knox County, Nebraska","8434","*****","*****","null","8336","null","28","null","98","28","null","null",
"0500000US31109","Lancaster County, Nebraska","320301","*****","*****","null","293562","null","1431","null","26739","1431","null","null",
"0500000US31111","Lincoln County, Nebraska","34906","*****","*****","null","34001","null","239","null","905","239","null","null",
"0500000US31113","Logan County, Nebraska","865","92","null","null","849","null","92","null","16","21","null","null",
"0500000US31115","Loup County, Nebraska","665","89","null","null","647","null","88","null","18","18","null","null",
"0500000US31117","McPherson County, Nebraska","475","74","null","null","473","null","75","null","2","3","null","null",
"0500000US31119","Madison County, Nebraska","35553","*****","*****","null","33156","null","277","null","2397","277","null","null",
"0500000US31121","Merrick County, Nebraska","7687","*****","*****","null","7423","null","69","null","264","69","null","null",
"0500000US31123","Morrill County, Nebraska","4595","*****","*****","null","4362","null","88","null","233","88","null","null",
"0500000US31125","Nance County, Nebraska","3389","*****","*****","null","3388","null","2","null","1","2","null","null",
"0500000US31127","Nemaha County, Nebraska","7025","*****","*****","null","6921","null","33","null","104","33","null","null",
"0500000US31129","Nuckolls County, Nebraska","4125","*****","*****","null","4060","null","36","null","65","36","null","null",
"0500000US31131","Otoe County, Nebraska","15916","*****","*****","null","15079","null","190","null","837","190","null","null",
"0500000US31133","Pawnee County, Nebraska","2564","*****","*****","null","2532","null","20","null","32","20","null","null",
"0500000US31135","Perkins County, Nebraska","2865","*****","*****","null","2810","null","26","null","55","26","null","null",
"0500000US31137","Phelps County, Nebraska","8972","*****","*****","null","8785","null","70","null","187","70","null","null",
"0500000US31139","Pierce County, Nebraska","7266","*****","*****","null","7169","null","41","null","97","41","null","null",
"0500000US31141","Platte County, Nebraska","34123","*****","*****","null","30397","null","427","null","3726","427","null","null",
"0500000US31143","Polk County, Nebraska","5223","*****","*****","null","5055","null","31","null","168","31","null","null",
"0500000US31145","Red Willow County, Nebraska","10724","*****","*****","null","10615","null","78","null","109","78","null","null",
"0500000US31147","Richardson County, Nebraska","7893","*****","*****","null","7816","null","61","null","77","61","null","null",
"0500000US31149","Rock County, Nebraska","1321","106","null","null","1315","null","105","null","6","7","null","null",
"0500000US31151","Saline County, Nebraska","14395","*****","*****","null","12194","null","278","null","2201","278","null","null",
"0500000US31153","Sarpy County, Nebraska","188464","*****","*****","null","178157","null","912","null","10307","912","null","null",
"0500000US31155","Saunders County, Nebraska","22008","*****","*****","null","21833","null","68","null","175","68","null","null",
"0500000US31157","Scotts Bluff County, Nebraska","36229","*****","*****","null","34532","null","356","null","1697","356","null","null",
"0500000US31159","Seward County, Nebraska","17605","*****","*****","null","17400","null","85","null","205","85","null","null",
"0500000US31161","Sheridan County, Nebraska","5150","*****","*****","null","5066","null","27","null","84","27","null","null",
"0500000US31163","Sherman County, Nebraska","2986","*****","*****","null","2953","null","21","null","33","21","null","null",
"0500000US31165","Sioux County, Nebraska","1081","160","null","null","1050","null","151","null","31","33","null","null",
"0500000US31167","Stanton County, Nebraska","5877","*****","*****","null","5734","null","64","null","143","64","null","null",
"0500000US31169","Thayer County, Nebraska","5053","*****","*****","null","5030","null","12","null","23","12","null","null",
"0500000US31171","Thomas County, Nebraska","562","64","null","null","550","null","64","null","12","13","null","null",
"0500000US31173","Thurston County, Nebraska","6806","*****","*****","null","6690","null","39","null","116","39","null","null",
"0500000US31175","Valley County, Nebraska","4031","89","null","null","4008","null","93","null","23","23","null","null",
"0500000US31177","Washington County, Nebraska","20699","*****","*****","null","20395","null","96","null","304","96","null","null",
"0500000US31179","Wayne County, Nebraska","9590","*****","*****","null","9209","null","110","null","381","110","null","null",
"0500000US31181","Webster County, Nebraska","3442","*****","*****","null","3420","null","13","null","22","13","null","null",
"0500000US31183","Wheeler County, Nebraska","735","99","null","null","729","null","100","null","6","10","null","null",
"0500000US31185","York County, Nebraska","14164","*****","*****","null","13969","null","70","null","195","70","null","null",
"0500000US32001","Churchill County, Nevada","25077","*****","*****","null","23203","null","296","null","1874","296","null","null",
"0500000US32003","Clark County, Nevada","2231147","*****","*****","null","1739925","null","5375","null","491222","5375","null","null",
"0500000US32005","Douglas County, Nevada","49158","*****","*****","null","46009","null","358","null","3149","358","null","null",
"0500000US32007","Elko County, Nevada","53420","*****","*****","null","49689","null","606","null","3731","606","null","null",
"0500000US32009","Esmeralda County, Nevada","987","234","null","null","882","null","216","null","105","70","null","null",
"0500000US32011","Eureka County, Nevada","1603","234","null","null","1554","null","227","null","49","51","null","null",
"0500000US32013","Humboldt County, Nevada","17218","*****","*****","null","15536","null","315","null","1682","315","null","null",
"0500000US32015","Lander County, Nevada","5729","*****","*****","null","5229","null","225","null","500","225","null","null",
"0500000US32017","Lincoln County, Nevada","4600","*****","*****","null","4551","null","41","null","49","41","null","null",
"0500000US32019","Lyon County, Nevada","58029","*****","*****","null","54204","null","491","null","3825","491","null","null",
"0500000US32021","Mineral County, Nevada","4552","*****","*****","null","4414","null","89","null","138","89","null","null",
"0500000US32023","Nye County, Nevada","50096","*****","*****","null","45886","null","609","null","4210","609","null","null",
"0500000US32027","Pershing County, Nevada","6668","*****","*****","null","5985","null","125","null","683","125","null","null",
"0500000US32029","Storey County, Nevada","4047","*****","*****","null","3839","null","139","null","208","139","null","null",
"0500000US32031","Washoe County, Nevada","479758","*****","*****","null","412143","null","2103","null","67615","2103","null","null",
"0500000US32033","White Pine County, Nevada","9192","*****","*****","null","8802","null","172","null","390","172","null","null",
"0500000US32510","Carson City, Nevada","57957","*****","*****","null","50536","null","598","null","7421","598","null","null",
"0500000US33001","Belknap County, New Hampshire","63395","*****","*****","null","61565","null","267","null","1830","267","null","null",
"0500000US33003","Carroll County, New Hampshire","49961","*****","*****","null","48726","null","304","null","1235","304","null","null",
"0500000US33005","Cheshire County, New Hampshire","76473","*****","*****","null","74346","null","350","null","2127","350","null","null",
"0500000US33007","Coos County, New Hampshire","31360","*****","*****","null","30608","null","158","null","752","157","null","null",
"0500000US33009","Grafton County, New Hampshire","91025","*****","*****","null","85908","null","410","null","5117","410","null","null",
"0500000US33011","Hillsborough County, New Hampshire","420504","*****","*****","null","378554","null","1875","null","41950","1875","null","null",
"0500000US33013","Merrimack County, New Hampshire","152983","*****","*****","null","145382","null","622","null","7601","622","null","null",
"0500000US33015","Rockingham County, New Hampshire","312771","*****","*****","null","297462","null","1028","null","15309","1028","null","null",
"0500000US33017","Strafford County, New Hampshire","130598","*****","*****","null","124860","null","577","null","5738","577","null","null",
"0500000US33019","Sullivan County, New Hampshire","43105","*****","*****","null","41869","null","221","null","1236","221","null","null",
"0500000US34001","Atlantic County, New Jersey","273865","*****","*****","null","230410","null","2054","null","43455","2054","null","null",
"0500000US34003","Bergen County, New Jersey","952979","*****","*****","null","658747","null","4148","null","294232","4148","null","null",
"0500000US34005","Burlington County, New Jersey","460102","*****","*****","null","412660","null","1912","null","47442","1912","null","null",
"0500000US34007","Camden County, New Jersey","521194","*****","*****","null","461896","null","2388","null","59298","2388","null","null",
"0500000US34009","Cape May County, New Jersey","95488","*****","*****","null","90860","null","609","null","4628","609","null","null",
