"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US05121","Randolph County, Arkansas","17992","*****","*****","null","17836","102","null","null","156","null","102","null",
"0500000US05123","St. Francis County, Arkansas","28089","*****","*****","null","27493","213","null","null","596","null","213","null",
"0500000US05125","Saline County, Arkansas","107498","*****","*****","null","104903","342","null","null","2595","null","342","null",
"0500000US05127","Scott County, Arkansas","11170","*****","*****","null","10640","120","null","null","530","null","120","null",
"0500000US05129","Searcy County, Arkansas","8146","*****","*****","null","8086","45","null","null","60","null","45","null",
"0500000US05131","Sebastian County, Arkansas","125795","*****","*****","null","114156","654","null","null","11639","null","654","null",
"0500000US05133","Sevier County, Arkansas","16978","*****","*****","null","14065","265","null","null","2913","null","265","null",
"0500000US05135","Sharp County, Arkansas","17278","*****","*****","null","17161","55","null","null","117","null","55","null",
"0500000US05137","Stone County, Arkansas","12480","*****","*****","null","12341","81","null","null","139","null","81","null",
"0500000US05139","Union County, Arkansas","41594","*****","*****","null","40666","130","null","null","928","null","130","null",
"0500000US05141","Van Buren County, Arkansas","17223","*****","*****","null","16964","100","null","null","259","null","100","null",
"0500000US05143","Washington County, Arkansas","204057","*****","*****","null","181532","921","null","null","22525","null","921","null",
"0500000US05145","White County, Arkansas","77007","*****","*****","null","75321","288","null","null","1686","null","288","null",
"0500000US05147","Woodruff County, Arkansas","7262","*****","*****","null","7214","46","null","null","48","null","46","null",
"0500000US05149","Yell County, Arkansas","22033","*****","*****","null","19296","178","null","null","2737","null","178","null",
"0500000US06001","Alameda County, California","1515136","*****","*****","null","1051240","4144","null","null","463896","null","4144","null",
"0500000US06003","Alpine County, California","1197","231","null","null","1140","216","null","null","57","null","39","null",
"0500000US06005","Amador County, California","37764","*****","*****","null","35616","380","null","null","2148","null","380","null",
"0500000US06007","Butte County, California","220101","*****","*****","null","202961","890","null","null","17140","null","890","null",
"0500000US06009","Calaveras County, California","45507","*****","*****","null","43546","299","null","null","1961","null","299","null",
"0500000US06011","Colusa County, California","21329","*****","*****","null","16257","314","null","null","5072","null","314","null",
"0500000US06013","Contra Costa County, California","1052047","*****","*****","null","803489","3700","null","null","248558","null","3700","null",
"0500000US06015","Del Norte County, California","28496","*****","*****","null","26677","248","null","null","1819","null","248","null",
"0500000US06017","El Dorado County, California","180441","*****","*****","null","164523","1020","null","null","15918","null","1020","null",
