"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0500000US17145","Perry County, Illinois","21467","*****","*****","null","21238","70","null","null","229","70","null","null",
"0500000US17147","Piatt County, Illinois","16433","*****","*****","null","16241","76","null","null","192","76","null","null",
"0500000US17149","Pike County, Illinois","15930","*****","*****","null","15850","34","null","null","80","34","null","null",
"0500000US17151","Pope County, Illinois","4360","*****","*****","null","4299","36","null","null","61","36","null","null",
"0500000US17153","Pulaski County, Illinois","5691","*****","*****","null","5631","33","null","null","60","33","null","null",
"0500000US17155","Putnam County, Illinois","5771","*****","*****","null","5627","65","null","null","144","65","null","null",
"0500000US17157","Randolph County, Illinois","32829","*****","*****","null","32434","82","null","null","395","82","null","null",
"0500000US17159","Richland County, Illinois","15953","*****","*****","null","15661","115","null","null","292","115","null","null",
"0500000US17161","Rock Island County, Illinois","146205","*****","*****","null","134708","761","null","null","11497","761","null","null",
"0500000US17163","St. Clair County, Illinois","264433","*****","*****","null","257134","672","null","null","7299","672","null","null",
"0500000US17165","Saline County, Illinois","24430","*****","*****","null","24176","104","null","null","254","104","null","null",
"0500000US17167","Sangamon County, Illinois","198134","*****","*****","null","192048","449","null","null","6086","449","null","null",
"0500000US17169","Schuyler County, Illinois","7181","*****","*****","null","7132","86","null","null","49","86","null","null",
"0500000US17171","Scott County, Illinois","5109","*****","*****","null","5085","12","null","null","24","12","null","null",
"0500000US17173","Shelby County, Illinois","21906","*****","*****","null","21827","36","null","null","79","36","null","null",
"0500000US17175","Stark County, Illinois","5551","*****","*****","null","5495","28","null","null","56","28","null","null",
"0500000US17177","Stephenson County, Illinois","45839","*****","*****","null","44970","228","null","null","869","228","null","null",
"0500000US17179","Tazewell County, Illinois","134695","*****","*****","null","132012","360","null","null","2683","360","null","null",
"0500000US17181","Union County, Illinois","17267","*****","*****","null","16758","101","null","null","509","101","null","null",
"0500000US17183","Vermilion County, Illinois","79207","*****","*****","null","77472","249","null","null","1735","249","null","null",
"0500000US17185","Wabash County, Illinois","11568","*****","*****","null","11249","130","null","null","319","130","null","null",
"0500000US17187","Warren County, Illinois","17429","*****","*****","null","16449","175","null","null","980","175","null","null",
"0500000US17189","Washington County, Illinois","14260","*****","*****","null","14147","36","null","null","113","36","null","null",
"0500000US17191","Wayne County, Illinois","16569","*****","*****","null","16422","74","null","null","147","74","null","null",
"0500000US17193","White County, Illinois","14186","*****","*****","null","13966","54","null","null","220","54","null","null",
"0500000US17195","Whiteside County, Illinois","56823","*****","*****","null","55018","272","null","null","1805","272","null","null",
