"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US17019","Champaign County, Illinois","199443","*****","*****","null","176439","null","1083","null","23004","null","1083","null",
"0500000US17021","Christian County, Illinois","34897","*****","*****","null","34345","null","254","null","552","null","254","null",
"0500000US17023","Clark County, Illinois","16442","*****","*****","null","16281","null","74","null","161","null","74","null",
"0500000US17025","Clay County, Illinois","13862","*****","*****","null","13747","null","49","null","115","null","49","null",
"0500000US17027","Clinton County, Illinois","37577","*****","*****","null","37157","null","104","null","420","null","104","null",
"0500000US17029","Coles County, Illinois","53684","*****","*****","null","52677","null","238","null","1007","null","238","null",
"0500000US17031","Cook County, Illinois","5182969","*****","*****","null","4092973","null","8559","null","1089996","null","8559","null",
"0500000US17033","Crawford County, Illinois","19850","*****","*****","null","19690","null","89","null","160","null","89","null",
"0500000US17035","Cumberland County, Illinois","11073","*****","*****","null","10982","null","63","null","91","null","63","null",
"0500000US17037","DeKalb County, Illinois","104684","*****","*****","null","97038","null","591","null","7646","null","591","null",
"0500000US17039","De Witt County, Illinois","16635","*****","*****","null","16366","null","109","null","269","null","109","null",
"0500000US17041","Douglas County, Illinois","19958","*****","*****","null","19084","null","162","null","874","null","162","null",
"0500000US17043","DuPage County, Illinois","914224","*****","*****","null","746930","null","3234","null","167294","null","3234","null",
"0500000US17045","Edgar County, Illinois","18658","*****","*****","null","18478","null","65","null","180","null","65","null",
"0500000US17047","Edwards County, Illinois","6693","*****","*****","null","6673","null","18","null","20","null","18","null",
"0500000US17049","Effingham County, Illinois","34229","*****","*****","null","33903","null","148","null","326","null","148","null",
"0500000US17051","Fayette County, Illinois","22051","*****","*****","null","21771","null","168","null","280","null","168","null",
"0500000US17053","Ford County, Illinois","14088","*****","*****","null","13911","null","82","null","177","null","82","null",
"0500000US17055","Franklin County, Illinois","39540","*****","*****","null","39159","null","104","null","381","null","104","null",
"0500000US17057","Fulton County, Illinois","37122","*****","*****","null","36117","null","204","null","1005","null","204","null",
"0500000US17059","Gallatin County, Illinois","5685","*****","*****","null","5658","null","22","null","27","null","22","null",
"0500000US17061","Greene County, Illinois","13911","*****","*****","null","13803","null","56","null","108","null","56","null",
"0500000US17063","Grundy County, Illinois","49460","*****","*****","null","47746","null","297","null","1714","null","297","null",
"0500000US17065","Hamilton County, Illinois","8441","*****","*****","null","8423","null","17","null","18","null","17","null",
"0500000US17067","Hancock County, Illinois","19155","*****","*****","null","18944","null","77","null","211","null","77","null",
